,Nelem,TravelTimeHour,Freq,AccumFreq
0,17646,1.0,0.06664023112218886,0.06664023112218886
1,22129,2.0,0.08357030910704508,0.15021054022923394
2,22203,3.0,0.083849770577239,0.23406031080647294
3,22858,4.0,0.08632338223909061,0.3203836930455636
4,21709,5.0,0.08198417643837685,0.40236786948394043
5,21223,6.0,0.0801487943503465,0.48251666383428693
6,21347,7.0,0.08061708113823901,0.563133744972526
7,23094,8.0,0.08721463773862799,0.650348382711154
8,26949,9.0,0.10177306973318982,0.7521214524443438
9,28929,10.0,0.10925055231405427,0.861372004758398
10,22230,11.0,0.08395173624879623,0.9453237410071943
11,14478,12.0,0.05467625899280575,1.0
